Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
1,22,1,7,7,5,6,3,6,4,5,5,4,4,5
4,22,1,4,5,5,5,7,7,2,1,1,7,7,7
5,23,1,5,4,4,5,6,6,3,3,3,7,7,6
6,23,1,5,5,5,6,5,6,2,2,999,5,4,5
7,23,1,4,5,6,6,4,5,2,4,2,6,7,7
8,23,1,6,3,5,7,5,5,4,5,5,7,6,4
11,23,1,4,4,4,999,4,4,4,4,4,4,4,4
26,23,1,5,4,6,5,5,6,2,2,3,6,5,4
27,23,1,5,4,5,7,6,6,2,2,2,7,7,7
28,23,1,6,6,7,6,6,6,2,2,3,5,5,4
29,23,1,5,6,5,5,6,6,2,3,3,7,6,5
31,23,1,7,7,6,6,6,7,3,2,1,7,7,6
32,23,1,7,7,7,6,6,6,1,1,1,5,5,3
33,23,1,3,6,5,6,5,6,2,2,3,6,4,3
34,23,1,4,5,5,4,4,5,2,2,999,5,5,3
36,22,1,5,6,6,5,5,6,1,2,3,4,5,4
38,22,1,7,7,7,7,6,7,1,1,2,7,5,1
39,22,1,7,7,5,6,6,6,2,1,999,7,6,5
43,22,1,6,6,6,4,6,5,2,3,2,7,7,7
44,22,1,5,5,4,4,7,6,4,3,6,7,5,1
45,23,1,5,5,4,2,7,5,2,4,5,7,7,6
47,23,1,1,6,3,3,5,4,4,3,2,7,7,7
48,22,1,2,7,7,5,6,5,3,4,2,7,6,4
49,23,1,6,7,7,5,6,6,2,2,3,5,4,5
50,23,1,7,7,6,7,999,7,1,1,1,7,7,6
51,22,1,7,7,7,7,7,7,1,1,1,7,7,7
52,23,1,7,7,7,7,7,7,2,1,2,7,5,1
53,23,1,6,6,6,6,5,5,1,1,2,4,5,4
54,23,1,6,6,6,6,5,5,1,1,2,7,7,7
55,23,1,5,6,6,6,4,6,1,1,2,6,5,4
57,23,1,5,5,5,6,5,5,2,2,2,5,3,2
58,23,1,5,7,7,999,5,6,1,1,1,7,6,4
59,23,1,5,6,6,6,6,7,1,2,2,4,4,4
60,23,1,6,6,7,7,6,7,2,2,2,7,6,4
61,23,1,3,5,3,6,7,6,4,4,4,5,5,4
62,23,1,7,7,7,7,7,6,1,1,1,7,5,1
66,23,1,6,6,6,4,5,5,6,5,5,6,6,4
67,22,1,2,2,3,3,3,4,4,4,4,7,6,5
68,22,1,1,6,4,2,4,4,4,999,4,7,7,6
69,23,1,1,4,7,4,5,5,4,5,4,4,4,1
70,23,1,1,2,3,6,5,6,6,6,6,5,6,6
71,22,1,1,2,3,6,6,4,5,3,4,4,6,7
72,22,1,1,3,4,5,6,5,4,4,5,5,5,4
73,23,1,6,6,5,5,5,5,5,5,5,6,5,6
76,24,1,7,7,7,7,7,7,1,1,1,7,5,1
77,24,1,7,7,7,7,7,7,1,1,1,6,3,2
79,25,1,7,7,7,7,7,6,1,1,1,7,6,3
80,23.57142857,1,3,4,5,6,5,5,3,3,4,7,7,7
81,24,1,7,7,7,6,6,7,1,1,2,7,6,4
82,24,1,6,7,6,7,6,6,3,2,3,5,5,5
83,24,2,6,5,4,7,7,7,2,2,2,5,5,5
84,24,2,7,6,6,6,5,5,1,2,2,6,4,1
85,24,2,6,5,5,6,7,6,3,1,2,7,7,7
87,23,2,6,5,5,7,5,6,3,3,3,4,4,1
90,25,2,5,7,6,6,5,5,3,4,3,4,5,4
91,25,2,6,5,5,7,7,7,3,1,2,7,7,7
93,24,2,6,6,6,5,6,6,1,1,1,5,5,4
94,23.57142857,2,7,7,7,7,5,6,1,1,3,3,5,5
95,25,1,7,7,7,7,7,6,1,2,1,7,6,3
96,23.57142857,1,6,6,5,7,6,6,1,1,3,6,6,5
98,23.57142857,1,2,2,2,5,3,4,3,4,3,4,5,4
100,24,1,4,7,6,6,5,5,3,4,4,4,6,7
102,25,1,5,5,5,5,5,6,1,1,3,6,6,4
104,24,1,5,6,6,6,5,6,2,1,2,6,6,6
105,24,1,6,7,5,5,4,6,1,2,2,5,4,1
106,24,1,5,6,6,4,6,5,4,3,4,4,5,4
107,24,1,4,6,5,5,5,5,5,4,5,5,4,6
108,24,1,5,6,6,5,5,6,2,3,2,6,6,6
109,25,1,6,6,5,4,4,5,5,5,3,6,5,6
110,24,1,6,4,5,4,4,5,4,2,5,3,3,3
112,24,1,5,7,7,6,6,6,2,2,3,6,6,6
113,25,2,6,6,6,6,5,6,2,2,2,6,5,4
114,25,2,5,5,5,4,4,5,5,4,3,4,3,1
115,24,2,6,4,3,6,7,6,2,3,3,4,4,5
116,24,2,5,6,6,6,6,6,2,2,5,6,6,6
119,23.57142857,2,2,6,6,6,6,6,2,5,6,7,7,7
123,24,2,5,5,5,4,5,5,2,2,3,6,6,4
126,23.57142857,2,4,4,4,2,5,2,4,4,4,2,3,1
127,24,2,3,4,5,5,4,5,2,3,5,4,4,2
128,24,2,6,7,6,4,4,4,3,3,3,3,5,4
129,24,2,5,4,4,4,5,4,5,4,4,6,6,6
130,24,2,1,2,3,7,5,5,4,3,4,3,4,1
131,23,2,3,4,3,5,6,5,3,4,4,5,5,4
134,23.57142857,2,4,1,3,5,3,4,4,4,5,5,5,3
138,25,2,6,7,7,6,7,5,3,4,5,4,3,1
139,23.57142857,2,5,6,5,5,4,6,2,2,5,5,5,4
140,24,2,4,4,4,4,4,4,4,4,4,4,4,5
141,23.57142857,2,4,4,4,5,5,5,4,4,4,6,6,7
142,23.57142857,2,6,4,4,6,4,5,2,3,3,5,4,2
143,25,2,4,4,4,4,4,4,3,4,4,5,4,3
144,26,2,5,5,6,6,6,6,1,1,1,6,6,7
145,26,2,4,5,4,5,4,4,4,4,3,5,6,6
146,26,2,1,1,1,3,3,3,4,3,2,1,2,3
147,26,2,5,7,7,5,5,5,5,5,5,6,5,6
148,25,2,4,4,4,6,7,5,6,3,3,2,4,2
149,26,2,7,7,7,7,7,6,6,5,5,7,5,6
150,24,2,6,6,6,4,4,4,3,3,3,3,5,4
151,24,2,5,4,5,3,5,3,3,5,5,3,4,3
152,25,2,2,3,3,5,6,5,3,4,5,5,6,6
154,24,2,6,6,7,6,6,6,1,1,2,7,5,2
155,24,1,4,4,2,4,5,5,4,5,5,5,6,6
156,24,1,6,5,6,5,5,5,3,2,4,5,5,3
157,23,1,3,4,4,4,4,6,3,3,3,2,4,2
158,23,1,4,7,6,6,5,6,1,2,3,6,6,5
160,25,1,5,5,7,6,6,5,3,3,5,7,5,1
161,28,1,5,5,5,4,5,5,3,2,4,6,6,5
163,27,1,6,6,5,3,5,5,2,2,3,6,5,3
164,27,1,5,6,6,6,7,6,3,3,5,6,6,5
165,27,1,6,6,7,6,6,6,2,2,2,6,6,4
167,28,1,7,7,7,6,7,7,2,1,3,5,4,1
168,28,1,2,2,4,4,5,5,3,4,4,4,5,4
170,22,1,4,4,3,5,3,5,4,4,4,6,5,3
171,28,1,5,5,5,5,5,5,3,4,5,4,4,2
172,28,1,3,6,6,6,7,6,4,4,4,4,4,1
173,22,1,6,5,7,6,6,6,5,5,4,7,6,4
178,23.57142857,1,7,5,5,3,5,6,2,4,2,4,4,1
179,23,1,6,7,7,5,5,6,1,1,4,6,6,5
180,23,1,6,6,7,6,7,6,7,6,7,5,5,5
182,24,1,6,3,6,6,7,6,2,5,4,1,5,6
185,24,1,7,7,7,4,6,6,3,3,4,6,6,6
186,23,1,6,7,7,4,6,6,3,3,3,7,7,7
187,24,1,7,6,6,6,7,6,1,3,2,5,4,2
190,23,1,3,4,3,4,6,4,7,5,5,5,5,5
191,23,1,4,6,4,6,6,5,5,5,3,7,5,7
193,24,1,7,7,7,6,7,6,1,1,4,7,7,7
195,23,1,4,4,5,4,5,6,2,2,2,5,6,5
196,26,1,5,5,5,4,5,5,4,5,5,4,5,4
197,26,1,4,3,6,6,6,6,2,2,2,5,5,4
198,24,1,1,3,6,6,5,4,3,5,6,5,4,2
199,25,1,7,7,7,6,6,6,2,2,3,5,5,5
200,25,1,6,6,6,3,6,6,2,3,1,7,6,4
201,25,1,6,6,6,6,5,6,1,3,4,5,5,3
202,25,1,5,6,6,5,5,6,3,3,3,6,6,5
203,25,1,6,6,6,7,5,6,2,2,2,6,6,6
204,25,1,5,4,5,4,5,5,3,3,3,4,4,4
205,25,2,4,4,4,5,5,3,2,3,4,3,3,3
206,26,2,6,6,6,6,7,6,2,3,2,5,5,3
208,25,2,6,6,6,6,5,5,2,2,3,5,4,3
209,24,2,6,6,7,5,5,6,2,2,2,5,4,5
210,23,2,2,3,4,4,6,5,2,4,3,3,4,3
211,23,2,5,5,5,6,7,5,3,3,4,6,6,6
212,24,2,4,5,5,5,4,5,2,3,3,5,5,5
213,24,1,7,7,7,6,6,6,1,2,3,6,6,5
214,24,1,7,6,6,6,6,6,1,3,3,5,5,3
216,23,1,4,5,3,4,5,5,2,2,2,6,5,6
217,23,1,6,4,5,6,5,5,2,2,2,5,5,4
218,24,1,4,4,5,4,4,6,6,6,5,6,5,3
219,23,1,5,7,7,7,7,5,2,3,4,7,5,7
220,23,1,6,7,7,6,7,7,1,1,2,6,5,5
221,23,1,6,6,6,5,6,6,2,2,2,6,5,4
222,23,1,6,7,7,7,6,6,2,1,2,7,5,2
223,25,1,7,7,7,6,5,6,2,2,2,6,6,5
224,23,1,5,3,5,5,5,5,3,3,3,4,4,2
225,23,1,7,7,7,6,6,7,2,2,2,6,4,2
226,23,1,2,3,4,5,4,5,4,4,5,1,3,3
228,23,1,3,6,7,5,7,6,3,5,5,7,7,6
230,23,1,4,4,4,5,4,6,3,3,4,7,7,7
234,23,1,5,5,5,7,6,7,2,3,2,7,7,7
235,23,1,4,4,4,4,3,4,4,4,5,3,3,2
236,23,1,4,7,6,5,6,4,2,2,2,5,4,2
239,23,1,2,4,3,4,5,5,3,3,4,5,5,4
240,23,1,5,5,5,5,5,5,5,5,5,5,4,5
241,23,1,3,3,4,4,4,4,4,4,4,5,5,6
242,22,1,7,7,7,6,7,7,3,1,1,7,5,2
243,22,1,5,5,5,4,6,6,1,1,2,7,5,6
244,22,1,7,7,7,7,7,7,1,1,1,4,5,5
245,22,1,6,6,6,5,5,5,2,2,1,6,5,2
247,22,1,3,5,4,6,6,6,4,2,3,6,6,5
248,23,1,1,6,6,5,7,5,3,3,4,3,999,1
251,23,1,6,5,4,6,6,6,1,1,1,3,4,4
257,22,1,6,6,6,7,6,6,1,1,2,6,6,6
258,23,1,2,3,3,5,5,6,1,1,3,5,4,1
259,23,1,7,7,7,6,6,7,2,3,1,6,5,3
261,22,1,6,6,6,6,6,6,2,3,3,7,6,4
262,23,1,4,4,4,7,6,5,4,4,4,7,5,3
263,23,1,4,5,5,6,5,5,4,5,5,5,5,5
265,23,1,7,7,6,7,6,6,2,4,5,6,6,6
266,23,1,4,4,5,7,6,6,2,4,4,4,6,7
267,23,1,4,3,5,5,5,5,4,5,4,7,7,7
268,23,1,7,7,7,5,6,7,2,1,1,7,6,4
269,23,1,7,6,5,7,7,7,1,1,2,7,7,7
272,23,1,5,6,5,5,6,6,2,2,3,6,5,3
273,23,1,7,7,7,6,7,7,1,3,3,6,5,1
274,23,1,7,7,7,7,7,6,1,1,1,7,7,7
275,23,1,7,7,7,6,7,7,3,2,3,7,7,7
276,23,1,7,7,7,6,7,7,1,1,4,7,6,4
277,23,1,5,6,5,4,6,6,2,3,2,5,5,4
279,23,1,3,3,4,4,4,3,2,3,4,1,3,2
280,23,1,5,6,5,5,6,6,7,5,6,7,7,6
281,23,1,2,1,2,3,4,4,5,5,4,7,7,7
282,23,1,6,7,6,6,6,6,3,3,3,6,5,3
284,23,1,5,6,6,5,6,6,2,3,5,5,4,2
285,23,1,4,7,7,6,7,6,4,2,4,7,6,4
286,23,1,6,5,5,6,7,7,2,4,4,5,6,7
290,23,1,7,7,7,6,7,7,1,2,3,6,5,4
291,22,1,6,7,7,4,7,5,2,3,3,5,5,4
292,22,1,6,6,5,5,5,6,2,2,3,6,5,4
293,22,1,7,6,6,5,5,6,3,4,5,7,7,7
294,22,1,4,6,6,6,6,6,2,3,4,5,5,4
295,22,1,5,7,5,5,6,6,2,3,2,4,4,3
302,23,1,6,4,7,5,6,6,4,5,4,4,4,2
303,23,1,6,5,6,6,3,4,2,2,3,6,5,1
304,22,1,3,2,4,5,3,3,1,3,2,4,4,3
305,23,1,6,6,7,7,6,6,2,3,3,6,5,2
306,23,1,4,4,5,6,6,5,2,2,2,5,4,2
307,22,1,4,5,5,6,6,5,2,2,2,4,4,6
308,23,1,5,5,5,5,6,6,4,5,4,5,5,4
309,23,1,6,6,7,7,6,6,2,2,2,7,5,6
310,23,1,6,6,6,6,7,6,2,1,2,5,4,6
312,23,1,4,5,4,5,5,5,2,2,3,5,5,4
315,23,1,5,6,6,6,6,6,2,2,4,7,6,5
316,23,2,6,4,7,6,6,6,2,2,4,5,5,4