,Num,Age,Gender,AutSup,IntMot,Energy
0,1,33,1,6.333333333333333,6.0,4.333333333333333
1,4,33,1,4.666666666666667,6.333333333333333,7.0
2,5,34,1,4.333333333333333,5.666666666666667,6.666666666666667
3,6,34,1,5.0,5.666666666666667,4.333333333333333
4,7,34,1,5.0,5.0,6.666666666666667
5,8,34,1,4.666666666666667,5.666666666666667,5.666666666666667
6,11,34,1,4.0,4.0,4.0
7,26,34,1,5.0,5.333333333333333,5.333333333333333
8,27,34,1,4.666666666666667,6.333333333333333,7.0
9,28,34,1,6.333333333333333,6.0,5.0
10,29,34,1,5.333333333333333,5.666666666666667,5.666666666666667
11,31,34,1,6.666666666666667,6.333333333333333,6.666666666666667
12,32,34,1,7.0,6.0,4.666666666666667
13,33,34,1,4.666666666666667,5.666666666666667,4.0
14,34,34,1,4.666666666666667,4.333333333333333,4.666666666666667
15,36,33,1,5.666666666666667,5.333333333333333,4.666666666666667
16,38,33,1,7.0,6.666666666666667,7.0
17,39,33,1,6.333333333333333,6.0,6.333333333333333
18,43,33,1,6.0,5.0,7.0
19,44,33,1,4.666666666666667,5.666666666666667,7.0
20,45,34,1,4.666666666666667,4.666666666666667,6.666666666666667
21,47,34,1,3.3333333333333335,4.0,7.0
22,48,33,1,5.333333333333333,5.333333333333333,6.0
23,49,34,1,6.666666666666667,5.666666666666667,4.333333333333333
24,50,34,1,6.666666666666667,7.0,6.666666666666667
25,51,33,1,7.0,7.0,7.0
26,52,34,1,7.0,7.0,7.0
27,53,34,1,6.0,5.333333333333333,4.666666666666667
28,54,34,1,6.0,5.333333333333333,7.0
29,55,34,1,5.666666666666667,5.333333333333333,5.333333333333333
30,56,34,1,4.666666666666667,5.0,4.0
31,57,34,1,5.0,5.333333333333333,3.3333333333333335
32,58,34,1,6.333333333333333,5.5,6.0
33,59,34,1,5.666666666666667,6.333333333333333,4.333333333333333
34,60,34,1,6.333333333333333,6.666666666666667,6.0
35,61,34,1,3.6666666666666665,6.333333333333333,5.333333333333333
36,62,34,1,7.0,6.666666666666667,7.0
37,66,34,1,6.0,4.666666666666667,5.666666666666667
38,67,33,1,2.3333333333333335,3.3333333333333335,6.333333333333333
39,68,33,1,3.6666666666666665,3.3333333333333335,6.666666666666667
40,69,34,1,4.0,4.666666666666667,4.0
41,70,34,1,2.0,5.666666666666667,5.666666666666667
42,71,33,1,2.0,5.333333333333333,5.666666666666667
43,72,33,1,2.6666666666666665,5.333333333333333,4.666666666666667
44,73,34,1,5.666666666666667,5.0,6.0
45,76,35,1,7.0,7.0,7.0
46,77,35,1,7.0,7.0,3.3333333333333335
47,79,36,1,7.0,6.666666666666667,5.666666666666667
48,80,35,1,4.0,5.333333333333333,7.0
49,81,35,1,7.0,6.333333333333333,6.0
50,82,35,2,6.333333333333333,6.333333333333333,5.0
51,83,35,2,5.0,7.0,4.666666666666667
52,84,35,2,6.333333333333333,5.333333333333333,4.333333333333333
53,85,35,2,5.333333333333333,6.333333333333333,7.0
54,87,34,2,5.333333333333333,6.0,5.0
55,90,36,2,6.0,5.333333333333333,4.666666666666667
56,91,36,2,5.333333333333333,7.0,7.0
57,93,35,2,6.0,5.666666666666667,5.333333333333333
58,94,35,1,7.0,6.0,4.666666666666667
59,95,36,1,7.0,6.666666666666667,5.666666666666667
60,96,35,1,5.666666666666667,6.333333333333333,6.0
61,98,35,1,2.0,4.0,4.666666666666667
62,100,35,1,5.666666666666667,5.333333333333333,6.0
63,102,36,1,5.0,5.333333333333333,5.666666666666667
64,104,35,1,5.666666666666667,5.666666666666667,6.0
65,105,35,1,6.0,5.0,5.5
66,106,35,1,5.666666666666667,5.0,4.666666666666667
67,107,35,1,5.0,5.0,4.333333333333333
68,108,35,1,5.666666666666667,5.333333333333333,6.333333333333333
69,109,36,1,5.666666666666667,4.333333333333333,6.0
70,110,35,1,5.0,4.333333333333333,3.3333333333333335
71,112,35,2,6.333333333333333,6.0,6.333333333333333
72,113,36,2,6.0,5.666666666666667,5.333333333333333
73,114,36,2,5.0,4.333333333333333,3.0
74,115,35,2,4.333333333333333,6.333333333333333,4.5
75,116,35,2,5.666666666666667,6.0,6.0
76,119,35,2,4.666666666666667,6.0,7.0
77,123,35,2,5.0,4.666666666666667,5.666666666666667
78,126,35,2,4.0,3.0,4.5
79,127,35,2,4.0,4.666666666666667,4.0
80,128,35,2,6.333333333333333,4.0,4.666666666666667
81,129,35,2,4.333333333333333,4.333333333333333,6.333333333333333
82,130,35,2,2.0,5.666666666666667,5.0
83,131,34,2,3.3333333333333335,5.333333333333333,5.0
84,134,35,2,2.6666666666666665,4.0,4.666666666666667
85,138,36,2,6.666666666666667,6.0,4.5
86,139,35,2,5.333333333333333,5.0,5.0
87,140,35,2,4.0,4.0,4.0
88,141,35,2,4.0,5.0,5.666666666666667
89,142,35,2,4.666666666666667,5.0,3.6666666666666665
90,143,36,2,4.0,4.0,4.333333333333333
91,144,37,2,5.333333333333333,6.0,6.333333333333333
92,145,37,2,4.333333333333333,4.333333333333333,5.666666666666667
93,146,37,2,1.0,3.0,1.6666666666666667
94,147,37,2,6.333333333333333,5.0,5.0
95,148,36,2,4.0,6.0,4.5
96,149,37,2,7.0,6.666666666666667,6.5
97,150,35,2,6.0,4.0,4.666666666666667
98,151,35,2,4.666666666666667,3.6666666666666665,4.0
99,152,36,1,2.6666666666666665,5.333333333333333,5.666666666666667
100,154,35,1,6.333333333333333,6.0,6.5
101,155,35,1,3.3333333333333335,4.666666666666667,5.666666666666667
102,156,35,1,5.666666666666667,5.0,5.0
103,157,34,1,3.6666666666666665,4.666666666666667,4.5
104,158,34,1,5.666666666666667,5.666666666666667,5.666666666666667
105,160,36,1,5.666666666666667,5.666666666666667,7.0
106,161,39,1,5.0,4.666666666666667,5.666666666666667
107,163,38,1,5.666666666666667,4.333333333333333,4.666666666666667
108,164,38,1,5.666666666666667,6.333333333333333,5.666666666666667
109,165,38,1,6.333333333333333,6.0,5.666666666666667
110,167,39,1,7.0,6.666666666666667,6.0
111,168,39,1,2.6666666666666665,4.666666666666667,4.666666666666667
112,170,33,1,3.6666666666666665,4.333333333333333,5.0
113,171,39,1,5.0,5.0,4.333333333333333
114,172,39,1,5.0,6.333333333333333,5.0
115,173,33,1,6.0,6.0,6.0
116,178,35,1,5.666666666666667,4.666666666666667,3.6666666666666665
117,179,34,1,6.666666666666667,5.333333333333333,6.0
118,180,34,1,6.333333333333333,6.333333333333333,5.0
119,182,35,1,5.0,6.333333333333333,6.5
120,185,35,1,7.0,5.333333333333333,6.333333333333333
121,186,34,1,6.666666666666667,5.333333333333333,7.0
122,187,35,1,6.333333333333333,6.333333333333333,4.333333333333333
123,190,34,1,3.3333333333333335,4.666666666666667,4.666666666666667
124,191,34,1,4.666666666666667,5.666666666666667,5.333333333333333
125,193,35,1,7.0,6.333333333333333,7.0
126,195,34,1,4.333333333333333,5.0,5.666666666666667
127,196,37,1,5.0,4.666666666666667,4.666666666666667
128,197,37,1,4.333333333333333,6.0,5.333333333333333
129,198,35,1,3.3333333333333335,5.0,4.0
130,199,36,1,7.0,6.0,5.333333333333333
131,200,36,1,6.0,5.0,6.0
132,201,36,1,6.0,5.666666666666667,4.666666666666667
133,202,36,2,5.666666666666667,5.333333333333333,5.666666666666667
134,203,36,2,6.0,6.0,6.0
135,204,36,2,4.666666666666667,4.666666666666667,4.333333333333333
136,205,36,2,4.0,4.333333333333333,2.6666666666666665
137,206,37,2,6.0,6.333333333333333,4.666666666666667
138,208,36,2,6.0,5.333333333333333,4.0
139,209,35,2,6.333333333333333,5.333333333333333,4.333333333333333
140,210,34,1,3.0,5.0,4.0
141,211,34,1,5.0,6.0,6.0
142,212,35,1,4.666666666666667,4.666666666666667,5.333333333333333
143,213,35,1,7.0,6.0,5.666666666666667
144,214,35,1,6.333333333333333,6.0,5.0
145,216,34,1,4.0,4.666666666666667,5.0
146,217,34,1,5.0,5.333333333333333,5.333333333333333
147,218,35,1,4.333333333333333,4.666666666666667,5.0
148,219,34,1,6.333333333333333,6.333333333333333,7.0
149,220,34,1,6.666666666666667,6.666666666666667,5.333333333333333
150,221,34,1,6.0,5.666666666666667,5.333333333333333
151,222,34,1,6.666666666666667,6.333333333333333,7.0
152,223,36,1,7.0,5.666666666666667,6.0
153,224,34,1,4.333333333333333,5.0,5.0
154,225,34,1,7.0,6.333333333333333,4.333333333333333
155,226,34,1,3.0,4.666666666666667,4.5
156,228,34,1,5.333333333333333,6.0,6.666666666666667
157,230,34,1,4.0,5.0,7.0
158,234,34,1,5.0,6.666666666666667,7.0
159,235,34,1,4.0,3.6666666666666665,3.0
160,236,34,1,5.666666666666667,5.0,4.333333333333333
161,239,34,1,3.0,4.666666666666667,5.0
162,240,34,1,5.0,5.0,4.333333333333333
163,241,34,1,3.3333333333333335,4.0,5.333333333333333
164,242,33,1,7.0,6.666666666666667,7.0
165,243,33,1,5.0,5.333333333333333,6.5
166,244,33,1,7.0,7.0,5.0
167,245,33,1,6.0,5.0,6.5
168,247,33,1,4.0,6.0,5.666666666666667
169,248,34,1,4.333333333333333,5.666666666666667,2.0
170,251,34,1,5.0,6.0,3.6666666666666665
171,257,33,1,6.0,6.333333333333333,6.0
172,258,34,1,2.6666666666666665,5.333333333333333,5.5
173,259,34,1,7.0,6.333333333333333,5.0
174,261,33,1,6.0,6.0,6.0
175,262,34,1,4.0,6.0,4.666666666666667
176,263,34,1,4.666666666666667,5.333333333333333,4.666666666666667
177,265,34,1,6.666666666666667,6.333333333333333,6.0
178,266,34,1,4.333333333333333,6.333333333333333,6.0
179,267,34,1,4.0,5.0,7.0
180,268,34,1,7.0,6.0,6.0
181,269,34,1,6.0,7.0,7.0
182,272,34,1,5.333333333333333,5.666666666666667,5.0
183,273,34,1,7.0,6.666666666666667,6.5
184,274,34,1,7.0,6.666666666666667,7.0
185,275,34,1,7.0,6.666666666666667,7.0
186,276,34,1,7.0,6.666666666666667,6.0
187,277,34,1,5.333333333333333,5.333333333333333,5.333333333333333
188,279,34,1,3.3333333333333335,3.6666666666666665,3.5
189,280,34,1,5.333333333333333,5.666666666666667,6.666666666666667
190,281,34,1,1.6666666666666667,3.6666666666666665,7.0
191,282,34,1,6.333333333333333,6.0,5.0
192,284,34,1,5.666666666666667,5.666666666666667,4.333333333333333
193,285,34,1,6.0,6.333333333333333,6.0
194,286,34,1,5.333333333333333,6.666666666666667,6.333333333333333
195,290,34,1,7.0,6.666666666666667,5.333333333333333
196,291,33,1,6.666666666666667,5.333333333333333,5.333333333333333
197,292,33,1,5.666666666666667,5.333333333333333,5.333333333333333
198,293,33,1,6.333333333333333,5.333333333333333,7.0
199,294,33,1,5.333333333333333,6.0,5.0
200,295,33,1,5.666666666666667,5.666666666666667,4.333333333333333
201,302,34,1,5.666666666666667,5.666666666666667,4.0
202,303,34,1,5.666666666666667,4.333333333333333,6.5
203,304,33,1,3.0,3.6666666666666665,4.333333333333333
204,305,34,1,6.333333333333333,6.333333333333333,4.666666666666667
205,306,34,1,4.333333333333333,5.666666666666667,4.0
206,307,33,1,4.666666666666667,5.666666666666667,4.333333333333333
207,308,34,2,5.0,5.666666666666667,5.0
208,309,34,2,6.333333333333333,6.333333333333333,6.5
209,310,34,2,6.0,6.333333333333333,4.333333333333333
210,312,34,2,4.333333333333333,5.0,5.0
211,315,34,2,5.666666666666667,6.0,6.0
212,316,34,2,5.666666666666667,6.0,4.666666666666667
