,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
0,1,22.0,1,7.0,7,5.0,6.0,3.0,6,4,5.0,5.0,4,4.0,5
1,4,22.0,1,4.0,5,5.0,5.0,7.0,7,2,1.0,1.0,7,7.0,7
2,5,23.0,1,5.0,4,4.0,5.0,6.0,6,3,3.0,3.0,7,7.0,6
3,6,23.0,1,5.0,5,5.0,6.0,5.0,6,2,2.0,,5,4.0,5
4,7,23.0,1,4.0,5,6.0,6.0,4.0,5,2,4.0,2.0,6,7.0,7
5,8,23.0,1,6.0,3,5.0,7.0,5.0,5,4,5.0,5.0,7,6.0,4
6,11,23.0,1,4.0,4,4.0,,4.0,4,4,4.0,4.0,4,4.0,4
7,26,23.0,1,5.0,4,6.0,5.0,5.0,6,2,2.0,3.0,6,5.0,4
8,27,23.0,1,5.0,4,5.0,7.0,6.0,6,2,2.0,2.0,7,7.0,7
9,28,23.0,1,6.0,6,7.0,6.0,6.0,6,2,2.0,3.0,5,5.0,4
10,29,23.0,1,5.0,6,5.0,5.0,6.0,6,2,3.0,3.0,7,6.0,5
11,31,23.0,1,7.0,7,6.0,6.0,6.0,7,3,2.0,1.0,7,7.0,6
12,32,23.0,1,7.0,7,7.0,6.0,6.0,6,1,1.0,1.0,5,5.0,3
13,33,23.0,1,3.0,6,5.0,6.0,5.0,6,2,2.0,3.0,6,4.0,3
14,34,23.0,1,4.0,5,5.0,4.0,4.0,5,2,2.0,,5,5.0,3
15,36,22.0,1,5.0,6,6.0,5.0,5.0,6,1,2.0,3.0,4,5.0,4
16,38,22.0,1,7.0,7,7.0,7.0,6.0,7,1,1.0,2.0,7,5.0,1
17,39,22.0,1,7.0,7,5.0,6.0,6.0,6,2,1.0,,7,6.0,5
18,43,22.0,1,6.0,6,6.0,4.0,6.0,5,2,3.0,2.0,7,7.0,7
19,44,22.0,1,5.0,5,4.0,4.0,7.0,6,4,3.0,6.0,7,5.0,1
20,45,23.0,1,5.0,5,4.0,2.0,7.0,5,2,4.0,5.0,7,7.0,6
21,47,23.0,1,1.0,6,3.0,3.0,5.0,4,4,3.0,2.0,7,7.0,7
22,48,22.0,1,2.0,7,7.0,5.0,6.0,5,3,4.0,2.0,7,6.0,4
23,49,23.0,1,6.0,7,7.0,5.0,6.0,6,2,2.0,3.0,5,4.0,5
24,50,23.0,1,7.0,7,6.0,7.0,,7,1,1.0,1.0,7,7.0,6
25,51,22.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,7,7.0,7
26,52,23.0,1,7.0,7,7.0,7.0,7.0,7,2,1.0,2.0,7,5.0,1
27,53,23.0,1,6.0,6,6.0,6.0,5.0,5,1,1.0,2.0,4,5.0,4
28,54,23.0,1,6.0,6,6.0,6.0,5.0,5,1,1.0,2.0,7,7.0,7
29,55,23.0,1,5.0,6,6.0,6.0,4.0,6,1,1.0,2.0,6,5.0,4
30,57,23.0,1,5.0,5,5.0,6.0,5.0,5,2,2.0,2.0,5,3.0,2
31,58,23.0,1,5.0,7,7.0,,5.0,6,1,1.0,1.0,7,6.0,4
32,59,23.0,1,5.0,6,6.0,6.0,6.0,7,1,2.0,2.0,4,4.0,4
33,60,23.0,1,6.0,6,7.0,7.0,6.0,7,2,2.0,2.0,7,6.0,4
34,61,23.0,1,3.0,5,3.0,6.0,7.0,6,4,4.0,4.0,5,5.0,4
35,62,23.0,1,7.0,7,7.0,7.0,7.0,6,1,1.0,1.0,7,5.0,1
36,66,23.0,1,6.0,6,6.0,4.0,5.0,5,6,5.0,5.0,6,6.0,4
37,67,22.0,1,2.0,2,3.0,3.0,3.0,4,4,4.0,4.0,7,6.0,5
38,68,22.0,1,1.0,6,4.0,2.0,4.0,4,4,,4.0,7,7.0,6
39,69,23.0,1,1.0,4,7.0,4.0,5.0,5,4,5.0,4.0,4,4.0,1
40,70,23.0,1,1.0,2,3.0,6.0,5.0,6,6,6.0,6.0,5,6.0,6
41,71,22.0,1,1.0,2,3.0,6.0,6.0,4,5,3.0,4.0,4,6.0,7
42,72,22.0,1,1.0,3,4.0,5.0,6.0,5,4,4.0,5.0,5,5.0,4
43,73,23.0,1,6.0,6,5.0,5.0,5.0,5,5,5.0,5.0,6,5.0,6
44,76,24.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,7,5.0,1
45,77,24.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,6,3.0,2
46,79,25.0,1,7.0,7,7.0,7.0,7.0,6,1,1.0,1.0,7,6.0,3
47,80,23.57,1,3.0,4,5.0,6.0,5.0,5,3,3.0,4.0,7,7.0,7
48,81,24.0,1,7.0,7,7.0,6.0,6.0,7,1,1.0,2.0,7,6.0,4
49,82,24.0,1,6.0,7,6.0,7.0,6.0,6,3,2.0,3.0,5,5.0,5
50,83,24.0,2,6.0,5,4.0,7.0,7.0,7,2,2.0,2.0,5,5.0,5
51,84,24.0,2,7.0,6,6.0,6.0,5.0,5,1,2.0,2.0,6,4.0,1
52,85,24.0,2,6.0,5,5.0,6.0,7.0,6,3,1.0,2.0,7,7.0,7
53,87,23.0,2,6.0,5,5.0,7.0,5.0,6,3,3.0,3.0,4,4.0,1
54,90,25.0,2,5.0,7,6.0,6.0,5.0,5,3,4.0,3.0,4,5.0,4
55,91,25.0,2,6.0,5,5.0,7.0,7.0,7,3,1.0,2.0,7,7.0,7
56,93,24.0,2,6.0,6,6.0,5.0,6.0,6,1,1.0,1.0,5,5.0,4
57,94,23.57,2,7.0,7,7.0,7.0,5.0,6,1,1.0,3.0,3,5.0,5
58,95,25.0,1,7.0,7,7.0,7.0,7.0,6,1,2.0,1.0,7,6.0,3
59,96,23.57,1,6.0,6,5.0,7.0,6.0,6,1,1.0,3.0,6,6.0,5
60,98,23.57,1,2.0,2,2.0,5.0,3.0,4,3,4.0,3.0,4,5.0,4
61,100,24.0,1,4.0,7,6.0,6.0,5.0,5,3,4.0,4.0,4,6.0,7
62,102,25.0,1,5.0,5,5.0,5.0,5.0,6,1,1.0,3.0,6,6.0,4
63,104,24.0,1,5.0,6,6.0,6.0,5.0,6,2,1.0,2.0,6,6.0,6
64,105,24.0,1,6.0,7,5.0,5.0,4.0,6,1,2.0,2.0,5,4.0,1
65,106,24.0,1,5.0,6,6.0,4.0,6.0,5,4,3.0,4.0,4,5.0,4
66,107,24.0,1,4.0,6,5.0,5.0,5.0,5,5,4.0,5.0,5,4.0,6
67,108,24.0,1,5.0,6,6.0,5.0,5.0,6,2,3.0,2.0,6,6.0,6
68,109,25.0,1,6.0,6,5.0,4.0,4.0,5,5,5.0,3.0,6,5.0,6
69,110,24.0,1,6.0,4,5.0,4.0,4.0,5,4,2.0,5.0,3,3.0,3
70,112,24.0,1,5.0,7,7.0,6.0,6.0,6,2,2.0,3.0,6,6.0,6
71,113,25.0,2,6.0,6,6.0,6.0,5.0,6,2,2.0,2.0,6,5.0,4
72,114,25.0,2,5.0,5,5.0,4.0,4.0,5,5,4.0,3.0,4,3.0,1
73,115,24.0,2,6.0,4,3.0,6.0,7.0,6,2,3.0,3.0,4,4.0,5
74,116,24.0,2,5.0,6,6.0,6.0,6.0,6,2,2.0,5.0,6,6.0,6
75,119,23.57,2,2.0,6,6.0,6.0,6.0,6,2,5.0,6.0,7,7.0,7
76,123,24.0,2,5.0,5,5.0,4.0,5.0,5,2,2.0,3.0,6,6.0,4
77,126,23.57,2,4.0,4,4.0,2.0,5.0,2,4,4.0,4.0,2,3.0,1
78,127,24.0,2,3.0,4,5.0,5.0,4.0,5,2,3.0,5.0,4,4.0,2
79,128,24.0,2,6.0,7,6.0,4.0,4.0,4,3,3.0,3.0,3,5.0,4
80,129,24.0,2,5.0,4,4.0,4.0,5.0,4,5,4.0,4.0,6,6.0,6
81,130,24.0,2,1.0,2,3.0,7.0,5.0,5,4,3.0,4.0,3,4.0,1
82,131,23.0,2,3.0,4,3.0,5.0,6.0,5,3,4.0,4.0,5,5.0,4
83,134,23.57,2,4.0,1,3.0,5.0,3.0,4,4,4.0,5.0,5,5.0,3
84,138,25.0,2,6.0,7,7.0,6.0,7.0,5,3,4.0,5.0,4,3.0,1
85,139,23.57,2,5.0,6,5.0,5.0,4.0,6,2,2.0,5.0,5,5.0,4
86,140,24.0,2,4.0,4,4.0,4.0,4.0,4,4,4.0,4.0,4,4.0,5
87,141,23.57,2,4.0,4,4.0,5.0,5.0,5,4,4.0,4.0,6,6.0,7
88,142,23.57,2,6.0,4,4.0,6.0,4.0,5,2,3.0,3.0,5,4.0,2
89,143,25.0,2,4.0,4,4.0,4.0,4.0,4,3,4.0,4.0,5,4.0,3
90,144,26.0,2,5.0,5,6.0,6.0,6.0,6,1,1.0,1.0,6,6.0,7
91,145,26.0,2,4.0,5,4.0,5.0,4.0,4,4,4.0,3.0,5,6.0,6
92,146,26.0,2,1.0,1,1.0,3.0,3.0,3,4,3.0,2.0,1,2.0,3
93,147,26.0,2,5.0,7,7.0,5.0,5.0,5,5,5.0,5.0,6,5.0,6
94,148,25.0,2,4.0,4,4.0,6.0,7.0,5,6,3.0,3.0,2,4.0,2
95,149,26.0,2,7.0,7,7.0,7.0,7.0,6,6,5.0,5.0,7,5.0,6
96,150,24.0,2,6.0,6,6.0,4.0,4.0,4,3,3.0,3.0,3,5.0,4
97,151,24.0,2,5.0,4,5.0,3.0,5.0,3,3,5.0,5.0,3,4.0,3
98,152,25.0,2,2.0,3,3.0,5.0,6.0,5,3,4.0,5.0,5,6.0,6
99,154,24.0,2,6.0,6,7.0,6.0,6.0,6,1,1.0,2.0,7,5.0,2
100,155,24.0,1,4.0,4,2.0,4.0,5.0,5,4,5.0,5.0,5,6.0,6
101,156,24.0,1,6.0,5,6.0,5.0,5.0,5,3,2.0,4.0,5,5.0,3
102,157,23.0,1,3.0,4,4.0,4.0,4.0,6,3,3.0,3.0,2,4.0,2
103,158,23.0,1,4.0,7,6.0,6.0,5.0,6,1,2.0,3.0,6,6.0,5
104,160,25.0,1,5.0,5,7.0,6.0,6.0,5,3,3.0,5.0,7,5.0,1
105,161,28.0,1,5.0,5,5.0,4.0,5.0,5,3,2.0,4.0,6,6.0,5
106,163,27.0,1,6.0,6,5.0,3.0,5.0,5,2,2.0,3.0,6,5.0,3
107,164,27.0,1,5.0,6,6.0,6.0,7.0,6,3,3.0,5.0,6,6.0,5
108,165,27.0,1,6.0,6,7.0,6.0,6.0,6,2,2.0,2.0,6,6.0,4
109,167,28.0,1,7.0,7,7.0,6.0,7.0,7,2,1.0,3.0,5,4.0,1
110,168,28.0,1,2.0,2,4.0,4.0,5.0,5,3,4.0,4.0,4,5.0,4
111,170,22.0,1,4.0,4,3.0,5.0,3.0,5,4,4.0,4.0,6,5.0,3
112,171,28.0,1,5.0,5,5.0,5.0,5.0,5,3,4.0,5.0,4,4.0,2
113,172,28.0,1,3.0,6,6.0,6.0,7.0,6,4,4.0,4.0,4,4.0,1
114,173,22.0,1,6.0,5,7.0,6.0,6.0,6,5,5.0,4.0,7,6.0,4
115,178,23.57,1,7.0,5,5.0,3.0,5.0,6,2,4.0,2.0,4,4.0,1
116,179,23.0,1,6.0,7,7.0,5.0,5.0,6,1,1.0,4.0,6,6.0,5
117,180,23.0,1,6.0,6,7.0,6.0,7.0,6,7,6.0,7.0,5,5.0,5
118,182,24.0,1,6.0,3,6.0,6.0,7.0,6,2,5.0,4.0,1,5.0,6
119,185,24.0,1,7.0,7,7.0,4.0,6.0,6,3,3.0,4.0,6,6.0,6
120,186,23.0,1,6.0,7,7.0,4.0,6.0,6,3,3.0,3.0,7,7.0,7
121,187,24.0,1,7.0,6,6.0,6.0,7.0,6,1,3.0,2.0,5,4.0,2
122,190,23.0,1,3.0,4,3.0,4.0,6.0,4,7,5.0,5.0,5,5.0,5
123,191,23.0,1,4.0,6,4.0,6.0,6.0,5,5,5.0,3.0,7,5.0,7
124,193,24.0,1,7.0,7,7.0,6.0,7.0,6,1,1.0,4.0,7,7.0,7
125,195,23.0,1,4.0,4,5.0,4.0,5.0,6,2,2.0,2.0,5,6.0,5
126,196,26.0,1,5.0,5,5.0,4.0,5.0,5,4,5.0,5.0,4,5.0,4
127,197,26.0,1,4.0,3,6.0,6.0,6.0,6,2,2.0,2.0,5,5.0,4
128,198,24.0,1,1.0,3,6.0,6.0,5.0,4,3,5.0,6.0,5,4.0,2
129,199,25.0,1,7.0,7,7.0,6.0,6.0,6,2,2.0,3.0,5,5.0,5
130,200,25.0,1,6.0,6,6.0,3.0,6.0,6,2,3.0,1.0,7,6.0,4
131,201,25.0,1,6.0,6,6.0,6.0,5.0,6,1,3.0,4.0,5,5.0,3
132,202,25.0,1,5.0,6,6.0,5.0,5.0,6,3,3.0,3.0,6,6.0,5
133,203,25.0,1,6.0,6,6.0,7.0,5.0,6,2,2.0,2.0,6,6.0,6
134,204,25.0,1,5.0,4,5.0,4.0,5.0,5,3,3.0,3.0,4,4.0,4
135,205,25.0,2,4.0,4,4.0,5.0,5.0,3,2,3.0,4.0,3,3.0,3
136,206,26.0,2,6.0,6,6.0,6.0,7.0,6,2,3.0,2.0,5,5.0,3
137,208,25.0,2,6.0,6,6.0,6.0,5.0,5,2,2.0,3.0,5,4.0,3
138,209,24.0,2,6.0,6,7.0,5.0,5.0,6,2,2.0,2.0,5,4.0,5
139,210,23.0,2,2.0,3,4.0,4.0,6.0,5,2,4.0,3.0,3,4.0,3
140,211,23.0,2,5.0,5,5.0,6.0,7.0,5,3,3.0,4.0,6,6.0,6
141,212,24.0,2,4.0,5,5.0,5.0,4.0,5,2,3.0,3.0,5,5.0,5
142,213,24.0,1,7.0,7,7.0,6.0,6.0,6,1,2.0,3.0,6,6.0,5
143,214,24.0,1,7.0,6,6.0,6.0,6.0,6,1,3.0,3.0,5,5.0,3
144,216,23.0,1,4.0,5,3.0,4.0,5.0,5,2,2.0,2.0,6,5.0,6
145,217,23.0,1,6.0,4,5.0,6.0,5.0,5,2,2.0,2.0,5,5.0,4
146,218,24.0,1,4.0,4,5.0,4.0,4.0,6,6,6.0,5.0,6,5.0,3
147,219,23.0,1,5.0,7,7.0,7.0,7.0,5,2,3.0,4.0,7,5.0,7
148,220,23.0,1,6.0,7,7.0,6.0,7.0,7,1,1.0,2.0,6,5.0,5
149,221,23.0,1,6.0,6,6.0,5.0,6.0,6,2,2.0,2.0,6,5.0,4
150,222,23.0,1,6.0,7,7.0,7.0,6.0,6,2,1.0,2.0,7,5.0,2
151,223,25.0,1,7.0,7,7.0,6.0,5.0,6,2,2.0,2.0,6,6.0,5
152,224,23.0,1,5.0,3,5.0,5.0,5.0,5,3,3.0,3.0,4,4.0,2
153,225,23.0,1,7.0,7,7.0,6.0,6.0,7,2,2.0,2.0,6,4.0,2
154,226,23.0,1,2.0,3,4.0,5.0,4.0,5,4,4.0,5.0,1,3.0,3
155,228,23.0,1,3.0,6,7.0,5.0,7.0,6,3,5.0,5.0,7,7.0,6
156,230,23.0,1,4.0,4,4.0,5.0,4.0,6,3,3.0,4.0,7,7.0,7
157,234,23.0,1,5.0,5,5.0,7.0,6.0,7,2,3.0,2.0,7,7.0,7
158,235,23.0,1,4.0,4,4.0,4.0,3.0,4,4,4.0,5.0,3,3.0,2
159,236,23.0,1,4.0,7,6.0,5.0,6.0,4,2,2.0,2.0,5,4.0,2
160,239,23.0,1,2.0,4,3.0,4.0,5.0,5,3,3.0,4.0,5,5.0,4
161,240,23.0,1,5.0,5,5.0,5.0,5.0,5,5,5.0,5.0,5,4.0,5
162,241,23.0,1,3.0,3,4.0,4.0,4.0,4,4,4.0,4.0,5,5.0,6
163,242,22.0,1,7.0,7,7.0,6.0,7.0,7,3,1.0,1.0,7,5.0,2
164,243,22.0,1,5.0,5,5.0,4.0,6.0,6,1,1.0,2.0,7,5.0,6
165,244,22.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,4,5.0,5
166,245,22.0,1,6.0,6,6.0,5.0,5.0,5,2,2.0,1.0,6,5.0,2
167,247,22.0,1,3.0,5,4.0,6.0,6.0,6,4,2.0,3.0,6,6.0,5
168,248,23.0,1,1.0,6,6.0,5.0,7.0,5,3,3.0,4.0,3,,1
169,251,23.0,1,6.0,5,4.0,6.0,6.0,6,1,1.0,1.0,3,4.0,4
170,257,22.0,1,6.0,6,6.0,7.0,6.0,6,1,1.0,2.0,6,6.0,6
171,258,23.0,1,2.0,3,3.0,5.0,5.0,6,1,1.0,3.0,5,4.0,1
172,259,23.0,1,7.0,7,7.0,6.0,6.0,7,2,3.0,1.0,6,5.0,3
173,261,22.0,1,6.0,6,6.0,6.0,6.0,6,2,3.0,3.0,7,6.0,4
174,262,23.0,1,4.0,4,4.0,7.0,6.0,5,4,4.0,4.0,7,5.0,3
175,263,23.0,1,4.0,5,5.0,6.0,5.0,5,4,5.0,5.0,5,5.0,5
176,265,23.0,1,7.0,7,6.0,7.0,6.0,6,2,4.0,5.0,6,6.0,6
177,266,23.0,1,4.0,4,5.0,7.0,6.0,6,2,4.0,4.0,4,6.0,7
178,267,23.0,1,4.0,3,5.0,5.0,5.0,5,4,5.0,4.0,7,7.0,7
179,268,23.0,1,7.0,7,7.0,5.0,6.0,7,2,1.0,1.0,7,6.0,4
180,269,23.0,1,7.0,6,5.0,7.0,7.0,7,1,1.0,2.0,7,7.0,7
181,272,23.0,1,5.0,6,5.0,5.0,6.0,6,2,2.0,3.0,6,5.0,3
182,273,23.0,1,7.0,7,7.0,6.0,7.0,7,1,3.0,3.0,6,5.0,1
183,274,23.0,1,7.0,7,7.0,7.0,7.0,6,1,1.0,1.0,7,7.0,7
184,275,23.0,1,7.0,7,7.0,6.0,7.0,7,3,2.0,3.0,7,7.0,7
185,276,23.0,1,7.0,7,7.0,6.0,7.0,7,1,1.0,4.0,7,6.0,4
186,277,23.0,1,5.0,6,5.0,4.0,6.0,6,2,3.0,2.0,5,5.0,4
187,279,23.0,1,3.0,3,4.0,4.0,4.0,3,2,3.0,4.0,1,3.0,2
188,280,23.0,1,5.0,6,5.0,5.0,6.0,6,7,5.0,6.0,7,7.0,6
189,281,23.0,1,2.0,1,2.0,3.0,4.0,4,5,5.0,4.0,7,7.0,7
190,282,23.0,1,6.0,7,6.0,6.0,6.0,6,3,3.0,3.0,6,5.0,3
191,284,23.0,1,5.0,6,6.0,5.0,6.0,6,2,3.0,5.0,5,4.0,2
192,285,23.0,1,4.0,7,7.0,6.0,7.0,6,4,2.0,4.0,7,6.0,4
193,286,23.0,1,6.0,5,5.0,6.0,7.0,7,2,4.0,4.0,5,6.0,7
194,290,23.0,1,7.0,7,7.0,6.0,7.0,7,1,2.0,3.0,6,5.0,4
195,291,22.0,1,6.0,7,7.0,4.0,7.0,5,2,3.0,3.0,5,5.0,4
196,292,22.0,1,6.0,6,5.0,5.0,5.0,6,2,2.0,3.0,6,5.0,4
197,293,22.0,1,7.0,6,6.0,5.0,5.0,6,3,4.0,5.0,7,7.0,7
198,294,22.0,1,4.0,6,6.0,6.0,6.0,6,2,3.0,4.0,5,5.0,4
199,295,22.0,1,5.0,7,5.0,5.0,6.0,6,2,3.0,2.0,4,4.0,3
200,302,23.0,1,6.0,4,7.0,5.0,6.0,6,4,5.0,4.0,4,4.0,2
201,303,23.0,1,6.0,5,6.0,6.0,3.0,4,2,2.0,3.0,6,5.0,1
202,304,22.0,1,3.0,2,4.0,5.0,3.0,3,1,3.0,2.0,4,4.0,3
203,305,23.0,1,6.0,6,7.0,7.0,6.0,6,2,3.0,3.0,6,5.0,2
204,306,23.0,1,4.0,4,5.0,6.0,6.0,5,2,2.0,2.0,5,4.0,2
205,307,22.0,1,4.0,5,5.0,6.0,6.0,5,2,2.0,2.0,4,4.0,6
206,308,23.0,1,5.0,5,5.0,5.0,6.0,6,4,5.0,4.0,5,5.0,4
207,309,23.0,1,6.0,6,7.0,7.0,6.0,6,2,2.0,2.0,7,5.0,6
208,310,23.0,1,6.0,6,6.0,6.0,7.0,6,2,1.0,2.0,5,4.0,6
209,312,23.0,1,4.0,5,4.0,5.0,5.0,5,2,2.0,3.0,5,5.0,4
210,315,23.0,1,5.0,6,6.0,6.0,6.0,6,2,2.0,4.0,7,6.0,5
211,316,23.0,2,6.0,4,7.0,6.0,6.0,6,2,2.0,4.0,5,5.0,4
